,Name,Description
80,Mycoplasma genitalium,"Mycoplasma genitalium (MG, commonly known as Mgen), is a sexually transmitted, small and pathogenic bacterium that lives on the mucous epithelial cells of the urinary and genital tracts in humans. Medical reports published in 2007 and 2015 state Mgen is becoming increasingly common. Resistance to multiple antibiotics is becoming prevalent, including to azithromycin, which until recently was the most reliable treatment. The bacteria was first isolated from the urogenital tract of humans in 1981, and was eventually identified as a new species of Mycoplasma in 1983. It can cause negative health effects in men and women. It also increases the risk factor for HIV spread with higher occurrences in those previously treated with the azithromycin antibiotics.Specifically, it causes urethritis in both men and women, and also cervicitis and pelvic inflammation in women. It presents clinically similar symptoms to that of Chlamydia trachomatis infection and has shown higher incidence rates, compared to both Chlamydia trachomatis and Neisseria gonorrhoeae infections in some populations. Its complete genome sequence was published in 1995 (size 0.58 Mbp, with 475 genes). It was regarded as a cellular unit with the smallest genome size (in Mbp) until 2003 when a new species of Archaea, namely Nanoarchaeum equitans, was sequenced (0.49 Mbp, with 540 genes). However, Mgen still has the smallest genome of any known (naturally occurring) self-replicating organism and thus is often the organism of choice in minimal genome research.
The synthetic genome of Mgen named Mycoplasma genitalium JCVI-1.0 (after the research centre, J. Craig Venter Institute, where it was synthesised) was produced in 2008, becoming the first organism with a synthetic genome. In 2014, a protein was described called Protein M from M. genitalium."
81,Mycoplasma hominis,"Mycoplasma hominis is a species of bacteria in the genus Mycoplasma. M. hominis has the ability to penetrate the interior of human cells. Along with ureaplasmas, mycoplasmas are the smallest free-living organisms known.
They have no cell wall and therefore do not Gram stain.Mycoplasma hominis is associated with pelvic inflammatory disease and bacterial vaginosis. It is also associated with male infertility. This species causes a sexually transmitted disease. It is susceptible to the antibiotic clindamycin.Growth of ""fried egg"" colonies on glucose agar medium within 24–48 hours is a characteristic of Mycoplasma hominis.
This pathogen may latently infect the chorionic villi tissues of pregnant women, thereby impacting pregnancy outcome."
82,Mycoplasma penetrans,"Mycoplasma penetrans is a species of Gram-positive bacteria. It is pathogenic, though many infected show no symptoms. It is a sexually transmitted disease, though an infant may be infected during birth."
83,Mycoplasma pneumoniae,"Mycoplasma pneumoniae is a very small bacterium in the class Mollicutes. It is a human pathogen that causes the disease mycoplasma pneumonia, a form of atypical bacterial pneumonia related to cold agglutinin disease. M. pneumoniae is characterized by the absence of a peptidoglycan cell wall and resulting resistance to many antibacterial agents. The persistence of M. pneumoniae infections even after treatment is associated with its ability to mimic host cell surface composition."
84,Neisseria,"Neisseria is a large genus of bacteria that colonize the mucosal surfaces of many animals.  Of the 11 species that colonize humans, only two are pathogens, N. meningitidis and N. gonorrhoeae. Most gonococcal infections are asymptomatic and self-resolving, and epidemic strains of the meningococcus may be carried in >95% of a population where systemic disease occurs at <1% prevalence.
Neisseria species are Gram-negative bacteria included among the proteobacteria, a large group of Gram-negative forms. Neisseria diplococci resemble coffee beans when viewed microscopically."
85,Neisseria gonorrhoeae,"Neisseria gonorrhoeae, also known as gonococcus (singular), or gonococci (plural), is a species of Gram-negative diplococci bacteria isolated by Albert Neisser in 1879. It causes the sexually transmitted genitourinary infection gonorrhea as well as other forms of gonococcal disease including disseminated gonococcemia, septic arthritis, and gonococcal ophthalmia neonatorum.
It is oxidase positive and aerobic, and it survives phagocytosis and grows inside neutrophils. Culturing it requires carbon dioxide supplementation and enriched agar (chocolate agar) with various antibiotics (Thayer–Martin). It exhibits antigenic variation through genetic recombination of its pili and surface proteins that interact with the immune system.Sexual transmission is through vaginal, anal, or oral sex. Sexual transmission may be prevented through the use of barrier protection. Perinatal transmission may occur during childbirth, and may be prevented by antibiotic treatment of the mother before birth and the application of antibiotic eye gel on the eyes of the newborn. After an episode of gonococcal infection, infected persons do not develop immunity to future infections. Reinfection is possible due to N. gonorrhoeae's ability to evade the immune system by varying its surface proteins.N. gonorrhoeae can cause infection of the genitals, throat, and eyes. Asymptomatic infection is common in males and females. Untreated infection may spread to the rest of the body (disseminated gonorrhea infection), especially the joints (septic arthritis). Untreated infection in women may cause pelvic inflammatory disease and possible infertility due to the resulting scarring. Diagnosis is through culture, Gram stain, or nucleic acid tests, such as polymerase chain reaction, of a urine sample, urethral swab, or cervical swab. Chlamydia co-testing and testing for other STIs is recommended due to high rates of co-infection."
86,Neisseria meningitidis,"Neisseria meningitidis, often referred to as meningococcus, is a Gram-negative bacterium that can cause meningitis and other forms of meningococcal disease such as meningococcemia, a life-threatening sepsis. The bacterium is referred to as a coccus because it is round, and more specifically a diplococcus because of its tendency to form pairs.
About 10% of adults are carriers of the bacteria in their nasopharynx. As an exclusively human pathogen, it is the main cause of bacterial meningitis in children and young adults, causing developmental impairment and death in about 10% of cases. It causes the only form of bacterial meningitis known to occur epidemically, mainly in Africa and Asia. It occurs worldwide in both epidemic and endemic form.N. meningitidis is spread through saliva and respiratory secretions during coughing, sneezing, kissing, chewing on toys and through sharing a source of fresh water. It has also been reported to be transmitted through oral sex and cause urethritis in men. It infects its host cells by sticking to them with long thin extensions called pili and the surface-exposed proteins Opa and Opc and has several virulence factors."
87,Pasteurella,"Pasteurella is a genus of Gram-negative, facultatively anaerobic bacteria. Pasteurella species are nonmotile and pleomorphic, and often exhibit bipolar staining (""safety pin"" appearance). Most species are catalase- and oxidase-positive.
The genus is named after the French chemist and microbiologist, Louis Pasteur, who first identified the bacteria now known as Pasteurella multocida as the agent of chicken cholera."
88,Pasteurella multocida,"Pasteurella multocida is a Gram-negative, nonmotile, penicillin-sensitive coccobacillus of the family Pasteurellaceae. Strains of the species are currently classified into five serogroups (A, B, D, E, F) based on capsular composition and 16 somatic serovars (1–16). P. multocida is the cause of a range of diseases in mammals and birds, including fowl cholera in poultry, atrophic rhinitis in pigs, and bovine hemorrhagic septicemia in cattle and buffalo. It can also cause a zoonotic infection in humans, which typically is a result of bites or scratches from domestic pets. Many mammals (including domestic cats and dogs) and birds harbor it as part of their normal respiratory microbiota."
89,Peptostreptococcus,"Peptostreptococcus is a genus of anaerobic, Gram-positive, non-spore forming bacteria. The cells are small, spherical, and can occur in short chains, in pairs or individually. They typically move using cilia. Peptostreptococcus are slow-growing bacteria with increasing resistance to antimicrobial drugs. Peptostreptococcus is a normal inhabitant of the healthy lower reproductive tract of women."
90,Pseudomonas aeruginosa,"Pseudomonas aeruginosa is a common encapsulated, Gram-negative, strict aerobic (although can grow anaerobically in the presence of nitrate), Rod-shaped bacterium that can cause disease in plants and animals, including humans.  A species of considerable medical importance, P. aeruginosa is a multidrug resistant pathogen  recognized for its ubiquity, its intrinsically advanced antibiotic resistance mechanisms, and its association with serious illnesses – hospital-acquired infections such as ventilator-associated pneumonia and various sepsis syndromes.
The organism is considered opportunistic insofar as serious infection often occurs during existing diseases or conditions – most notably cystic fibrosis and traumatic burns. It generally affects the immunocompromised but can also infect the immunocompetent as in hot tub folliculitis.  Treatment of P. aeruginosa infections can be difficult due to its natural resistance to antibiotics. When more advanced antibiotic drug regimens are needed adverse effects may result.
It is citrate, catalase, and oxidase positive. It is found in soil, water, skin flora, and most man-made environments throughout the world. It thrives not only in normal atmospheres, but also in low-oxygen atmospheres, thus has colonized many natural and artificial environments. It uses a wide range of organic material for food; in animals, its versatility enables the organism to infect damaged tissues or those with reduced immunity. The symptoms of such infections are generalized inflammation and sepsis. If such colonizations occur in critical body organs, such as the lungs, the urinary tract, and kidneys, the results can be fatal. Because it thrives on moist surfaces, this bacterium is also found on and in medical equipment, including catheters, causing cross-infections in hospitals and clinics. It is also able to decompose hydrocarbons and has been used to break down tarballs and oil from oil spills. P. aeruginosa is not extremely virulent in comparison with other major pathogenic bacterial species – for example the Gram-positive Staphylococcus aureus and Streptococcus pyogenes – though P. aeruginosa is capable of extensive colonization, and can aggregate into enduring biofilms."
91,Rickettsia,"Rickettsia is a genus of nonmotile, gram-negative, nonspore-forming, highly pleomorphic bacteria that may occur in the forms of cocci (0.1 μm in diameter), bacilli (1–4 μm long), or threads (up to about 10 μm long). The term ""rickettsia"" has nothing to do with rickets (which is a deficiency disease resulting from lack of vitamin D); the bacterial genus Rickettsia instead was named after Howard Taylor Ricketts, in honor of his pioneering work on tick-borne spotted fever.
Properly, Rickettsia is the name of a single genus, but the informal term ""rickettsia"", plural ""rickettsias"", usually not capitalised, commonly applies to any members of the order Rickettsiales. Being obligate intracellular parasites, rickettsias depend on entry, growth, and replication within the cytoplasm of living eukaryotic host cells (typically endothelial cells). Accordingly, Rickettsia species cannot grow in artificial nutrient culture; they must be grown either in tissue or embryo cultures; typically, chicken embryos are used, following a method developed by Ernest William Goodpasture and his colleagues at Vanderbilt University in the early 1930s.
Rickettsia species are transmitted by numerous types of arthropod, including chigger, ticks, fleas, and lice, and are associated with both human and plant diseases. Most notably, Rickettsia species are the pathogens responsible for typhus, rickettsialpox, boutonneuse fever, African tick-bite fever, Rocky Mountain spotted fever, Flinders Island spotted fever, and Queensland tick typhus (Australian tick typhus). The majority of Rickettsia bacteria are susceptible to antibiotics of the tetracycline group."
92,Rickettsia prowazekii,"Rickettsia prowazekii is a species of gram-negative, alphaproteobacteria, obligate intracellular parasitic, aerobic  bacillus bacteria that is the etiologic agent of epidemic typhus, transmitted in the feces of lice. In North America, the main reservoir for R. prowazekii is the flying squirrel. R. prowazekii is often surrounded by a protein microcapsular layer and slime layer; the natural life cycle of the bacterium generally involves a vertebrate and an invertebrate host, usually an arthropod, typically the human body louse. A form of R. prowazekii that exists in the feces of arthropods remains stably infective for months. R. prowazekii also appears to be the closest free-living relative of mitochondria, based on genome sequencing."
93,Rickettsia rickettsii,"Rickettsia rickettsii (abbreviated as R. rickettsii)  is a gram-negative, intracellular, coccobacillus bacterium that is around 0.8 to 2.0 μm long. R. rickettsii is the causative agent of Rocky Mountain spotted fever. R. rickettsii is one of the most pathogenic Rickettsia strains. It affects a large majority of the Western Hemisphere and small portions of the Eastern Hemisphere."
94,Rothia dentocariosa,"Rothia dentocariosa (previously known as Actinomyces dentocariosus and Nocardia dentocariosus) is a species of Gram-positive, round- to rod-shaped bacteria that is part of the normal community of microbes residing in the mouth and respiratory tract.
First isolated from dental caries, Rothia dentocariosa is largely benign, but does very rarely cause disease. The most common Rothia infection is endocarditis, typically in people with underlying heart valve disorders. Literature case reports show other tissues that are rarely infected include the peritoneum, tonsils, lung, cornea, inner layers of the eye (Endophthalmitis) and brain and intercranial tissues.
It has been implicated in periodontal disease, and one hypothesis is that Rothia periodontal disease, or dental procedures in turn, may be first steps in the infection of other tissues. A study regarding the relationship between COVID-19 and bacterial communities found that Rothia dentocariosa was highly predictive of COVID-19. In a hospital, samples from COVID-19 patients and their rooms were collected, then tested for COVID-19, and also characterized microbial communities. Found to have the greatest prevalence in all positive COVID-19 samples was Rothia dentocariosa. One case reports on a fatal Rothia dentocariosa infection of a fetus in utero. Another reports the bacterium was responsible for septic arthritis in the knee of a person treated with etanercept for rheumatoid arthritis. Like other Rothia infections reported in the literature, once the cause of infection was identified, this responded fully to treatment with antibiotics. Rothia infections may be treated with penicillins, erythromycin,  cefazolin, rifampin, aminoglycoside, tetracycline, chloramphenicol, and trimethoprim-sulfamethoxazole.Variable or pleomorphic in shape and similar to Actinomyces and Nocardia, Rothia was only defined as a genus in 1967. Rothia dentocariosa, like several other species of oral bacteria, is able to reduce nitrate to nitrite, and one study found it in 3% of isolates of nitrate-reducing bacteria from the mouth."
95,Salmonella,"Salmonella is a genus of rod-shaped (bacillus) Gram-negative bacteria of the family Enterobacteriaceae. The two species of Salmonella are Salmonella enterica and Salmonella bongori. S. enterica is the type species and is further divided into six subspecies that include over 2,600 serotypes. Salmonella was named after Daniel Elmer Salmon (1850–1914), an American veterinary surgeon.
Salmonella species are non-spore-forming, predominantly motile enterobacteria with cell diameters between about 0.7 and 1.5 μm, lengths from 2 to 5 μm, and peritrichous flagella (all around the cell body, allowing them to move). They are chemotrophs, obtaining their energy from oxidation and reduction reactions, using organic sources. They are also facultative anaerobes, capable of generating ATP with oxygen (""aerobically"") when it is available, or using other electron acceptors or fermentation (""anaerobically"") when oxygen is not available.Salmonella species are intracellular pathogens; of which certain serotypes cause illness. Most infections are due to ingestion of food contaminated by animal feces, or by human feces, such as by a food-service worker at a commercial eatery. Salmonella serotypes can be divided into two main groups—typhoidal and nontyphoidal. Nontyphoidal serotypes are zoonotic and can be transferred from animal-to-human and from human-to-human. They usually invade only the gastrointestinal tract and cause salmonellosis, the symptoms of which can be resolved without antibiotics. However, in sub-Saharan Africa, nontyphoidal Salmonella can be invasive and cause paratyphoid fever, which requires immediate treatment with antibiotics. Typhoidal serotypes can only be transferred from human-to-human, and can cause food-borne infection, typhoid fever, and paratyphoid fever. Typhoid fever is caused by Salmonella invading the bloodstream (the typhoidal form), or in addition spreading throughout the body, invading organs, and secreting endotoxins (the septic form). This can lead to life-threatening hypovolemic shock and septic shock, and requires intensive care including antibiotics."
96,Serratia marcescens,"Serratia marcescens () is a species of rod-shaped, Gram-negative bacteria in the family Yersiniaceae. It is a facultative anaerobe and an opportunistic pathogen. It was discovered in 1819 by Bartolomeo Bizio in Padua, Italy. S. marcescens is commonly involved in hospital-acquired infections (HAIs), particularly catheter-associated bacteremia, urinary tract infections, and wound infections, and is responsible for 1.4% of HAI cases in the United States. It is commonly found in the respiratory and urinary tracts of hospitalized adults and in the gastrointestinal systems of children.
Due to its abundant presence in the environment, and its preference for damp conditions, S. marcescens is commonly found growing in bathrooms (especially on tile grout, shower corners, toilet water lines, and basins), where it manifests as a pink, pink-orange, or orange discoloration and slimy film feeding off phosphorus-containing materials or fatty substances such as soap and shampoo residue.
Once established, complete eradication of the organism is often difficult, but can be accomplished by application of a bleach-based disinfectant. Rinsing and drying surfaces after use can also prevent the establishment of the bacterium by removing its food source and making the environment less hospitable.
S. marcescens may also be found in environments such as dirt and the subgingival biofilm of teeth. Due to this, and because S. marcescens produces a reddish-orange tripyrrole dye called prodigiosin, it may cause staining of the teeth. The biochemical pathway for the production of prodigiosin by S. marcescens has been characterized by analyzing what intermediates become accumulated in specific mutants."
97,Shigella dysenteriae,"Shigella dysenteriae is a species of the rod-shaped bacterial genus Shigella. Shigella species can cause shigellosis (bacillary dysentery). Shigellae are Gram-negative, non-spore-forming, facultatively anaerobic, nonmotile bacteria. S. dysenteriae has the ability to invade and replicate in various species of epithelial cells and enterocytes."
98,Spirillum volutans,"Spirillum volutans is a gram-negative, bacterium from the genus of Spirillum which occurs in freshwater. It has an amphitrichous flagellar arrangement. Spirillum volutans is one of the largest bacteria species.


== References =="
99,Staphylococcus,"Staphylococcus is a genus of Gram-positive bacteria in the family Staphylococcaceae from the order Bacillales. Under the microscope, they appear spherical (cocci), and form in grape-like clusters. Staphylococcus species are facultative anaerobic organisms (capable of growth both aerobically and anaerobically).
The name was coined in 1880 by Scottish surgeon and bacteriologist Alexander Ogston (1844–1929), following the pattern established five years earlier with the naming of Streptococcus. It combines the prefix ""staphylo-"" (from Ancient Greek: σταφυλή, romanized: staphylē, lit. 'bunch of grapes'), and suffixed by the Modern Latin: coccus, lit. 'spherical bacterium' (from Ancient Greek: κόκκος, romanized: kókkos, lit. 'grain, seed, berry').
Staphylococcus includes at least 40 species. Of these, nine have two subspecies, one has three subspecies, and one has four subspecies. Many species cannot cause disease and reside normally on the skin and mucous membranes of humans and other animals. Staphylococcus species have been found to be nectar-inhabiting microbes.  They are also a small component of the soil microbiome.Two species of Staphylococcus (Staphylococcus epidermidis and Staphylococcus arlettae) identified from marine sponges of Saint Martin's Island of the Bay of Bengal, Bangladesh. Marine sponge associated Staphylococcus species are highly salt tolerant."
100,Staphylococcus aureus,"Staphylococcus aureus is a Gram-positive round-shaped bacterium, a member of the Bacillota, and is a usual member of the microbiota of the body, frequently found in the upper respiratory tract and on the skin. It is often positive for catalase and nitrate reduction and is a facultative anaerobe that can grow without the need for oxygen. Although S. aureus usually acts as a commensal of the human microbiota it can also become an opportunistic pathogen, being a common cause of skin infections including abscesses, respiratory infections such as sinusitis, and food poisoning. Pathogenic strains often promote infections by producing virulence factors such as potent protein toxins, and the expression of a cell-surface protein that binds and inactivates antibodies. S. aureus is one of the leading pathogens for deaths associated with antimicrobial resistance and the emergence of antibiotic-resistant strains such as methicillin-resistant S. aureus (MRSA) is a worldwide problem in clinical medicine. Despite much research and development, no vaccine for S. aureus has been approved.
An estimated 20% to 30% of the human population are long-term carriers of S. aureus which can be found as part of the normal skin flora, in the nostrils, and as a normal inhabitant of the lower reproductive tract of women. S. aureus can cause a range of illnesses, from minor skin infections, such as pimples, impetigo, boils, cellulitis, folliculitis, carbuncles, scalded skin syndrome, and abscesses, to life-threatening diseases such as pneumonia, meningitis, osteomyelitis, endocarditis, toxic shock syndrome, bacteremia, and sepsis. It is still one of the five most common causes of hospital-acquired infections and is often the cause of wound infections following surgery. Each year, around 500,000 patients in hospitals of the United States contract a staphylococcal infection, chiefly by S. aureus. Up to 50,000 deaths each year in the United States are linked with S. aureus infections."
101,Staphylococcus epidermidis,"Staphylococcus epidermidis is a Gram-positive bacterium, and one of over 40 species belonging to the genus Staphylococcus. It is part of the normal human flora, typically the skin flora, and less commonly the mucosal flora and also found in marine sponges. It is a facultative anaerobic bacteria.  Although S. epidermidis is not usually pathogenic, patients with compromised immune systems are at risk of developing infection. These infections are generally hospital-acquired.  S. epidermidis is a particular concern for people with catheters or other surgical implants because it is known to form biofilms that grow on these devices.  Being part of the normal skin flora, S. epidermidis is a frequent contaminant of specimens sent to the diagnostic laboratory.Some strains of S. epidermidis are highly salt tolerant and commonly found in marine environment. S.I. Paul et al. (2021) isolated and identified salt tolerant strains of S. epidermidis (strains ISP111A, ISP111B and ISP111C) from Cliona viridis sponges of the Saint Martin's Island Area of the Bay of Bengal, Bangladesh."
102,Stenotrophomonas maltophilia,"Stenotrophomonas maltophilia is an aerobic, nonfermentative, Gram-negative bacterium. It is an uncommon bacterium and human infection is difficult to treat. Initially classified as Bacterium bookeri, then renamed Pseudomonas maltophilia, S. maltophilia was also grouped in the genus Xanthomonas before eventually becoming the type species of the genus Stenotrophomonas in 1993.S. maltophilia is slightly smaller (0.7–1.8 × 0.4–0.7 μm) than other members of the genus. They are motile due to polar flagella, and grow well on MacConkey agar producing pigmented colonies. S. maltophilia is catalase-positive, oxidase-negative (which distinguishes it from most other members of the genus) and has a positive reaction for extracellular DNase.S. maltophilia is ubiquitous in aqueous environments, soil, and plants; it has also been used in biotechnology applications. In immunocompromised patients, S. maltophilia can lead to nosocomial infections. It is also an emerging nosocomial pathogen associated with opportunistic infections in patients with cystic fibrosis, cancer, and HIV. Adherence of this organism to abiotic surfaces such as medical implants and catheters represents a major risk for hospitalized patients."
103,Streptococcus,"Streptococcus is a genus of gram-positive coccus (plural cocci) or spherical bacteria that belongs to the family Streptococcaceae, within the order Lactobacillales (lactic acid bacteria), in the phylum Bacillota.  Cell division in streptococci occurs along a single axis, so as they grow, they tend to form pairs or chains that may appear bent or twisted. This differs from staphylococci, which divide along multiple axes, thereby generating irregular, grape-like clusters of cells. Most streptococci are oxidase-negative and catalase-negative, and many are facultative anaerobes (capable of growth both aerobically and anaerobically).
The term was coined in 1877 by Viennese surgeon Albert Theodor Billroth (1829–1894), by combining the prefix ""strepto-"" (from Ancient Greek: στρεπτός, romanized: streptós, lit. 'easily twisted, pliant'), together with the suffix ""-coccus"" (from Modern Latin: coccus, from Ancient Greek: κόκκος, romanized: kókkos, lit. 'grain, seed, berry'.) In 1984, many bacteria formerly grouped in the genus Streptococcus were separated out into the genera Enterococcus and Lactococcus. Currently, over 50 species are recognised in this genus. This genus has been found to be part of the salivary microbiome."
104,Streptococcus agalactiae,"Streptococcus agalactiae (also known as group B streptococcus or GBS) is a gram-positive coccus (round bacterium) with a tendency to form chains (as reflected by the genus name Streptococcus). It is a beta-hemolytic, catalase-negative, and facultative anaerobe.S. agalactiae is the most common human pathogen of streptococci belonging to group B of the Rebecca Lancefield classification of streptococci. GBS are surrounded by a bacterial capsule composed of polysaccharides (exopolysacharide). The species is subclassified into ten serotypes (Ia, Ib, II–IX) depending on the immunologic reactivity of their polysaccharide capsule.The plural term group B streptococci (referring to the serotypes) and the singular term group B streptococcus (referring to the single species) are both commonly encountered (even though S. halichoeri and S. pseudoporcinus are also group B Streptococci).
In general, GBS is a harmless commensal bacterium being part of the human microbiota colonizing the gastrointestinal and genitourinary tract of up to 30% of healthy human adults (asymptomatic carriers). Nevertheless, GBS  can cause severe invasive infections especially in newborns, the elderly, and people with compromised immune systems.
S. agalactiae is also a common veterinary pathogen, because it can cause bovine mastitis (inflammation of the udder) in dairy cows. The species name agalactiae meaning ""of no milk"", alludes to this."
105,Streptococcus bovis,"Streptococcus bovis (S. bovis) is a species of Gram-positive bacteria that in humans is associated with urinary tract infections, endocarditis, sepsis,  and colorectal cancer. S. gallolyticus is commonly found in the alimentary tract of cattle, sheep, and other ruminants, and may cause ruminal acidosis or feedlot bloat. It is also associated with spontaneous bacterial peritonitis, a frequent complication occurring in patients affected by cirrhosis. Equivalence with Streptococcus equinus has been contested."
106,Streptococcus cricetus,"Streptococcus cricetus is a species of Streptococcus.


== References =="
107,Streptococcus ferus,"== Overview ==
Streptococcus ferus is a facultatively anaerobic, gram-positive species of the genus Streptococcus. The species is a member of the Viridans streptococci group  which are a large mixed-group of mostly alpha-hemolytic streptococci. The alpha-hemolytic bacteria are ones that exhibit a partial hemolysis with green coloration when grown on sheep blood agar (see image.)"
108,Streptococcus mitis,"Streptococcus mitis is a mesophilic alpha-hemolytic species of Streptococcus that inhabits the oral cavity. It is coccus (spherical shaped), gram-positive, catalase negative, and facultative anaerobe. It was previously classified as Streptococcus mitior. Streptococcus mitis is known to cause several medical conditions one of them being infective endocarditis."
109,Streptococcus mutans,"Streptococcus mutans is a facultatively anaerobic, gram-positive coccus (round bacterium) commonly found in the human oral cavity and is a significant contributor to tooth decay.
It is part of the ""streptococci"" (plural, non-italic lowercase), an informal general name for all species in the genus Streptococcus. The microbe was first described by James Kilian Clarke in 1924.This bacterium, along with the closely related species Streptococcus sobrinus, can cohabit the mouth: Both contribute to oral disease, and the expense of differentiating them in laboratory testing is often not clinically necessary. Therefore, for clinical purposes they are often considered together as a group, called the mutans streptococci (plural, non-italic due to its being an informal group name). This grouping of similar bacteria with similar tropism can also be seen in the viridans streptococci, another group of Streptococcus species."
110,Streptococcus oralis,Streptococcus oralis is a Gram positive bacterium that grows characteristically in chains. It forms small white  colonies on a Wilkins-Chalgren agar plate. It is found in high numbers in the oral cavity. It has been classified as a member of the Streptococcus mitis group. Members of this group are opportunistic pathogens. Strains of S. oralis produce neuraminidase and an IgA protease and cannot bind α-amylase.
111,Streptococcus pneumoniae,"Streptococcus pneumoniae, or pneumococcus, is a Gram-positive, spherical bacteria, alpha-hemolytic (under aerobic conditions) or beta-hemolytic (under anaerobic conditions), aerotolerant anaerobic member of the genus Streptococcus. They are usually found in pairs (diplococci) and  do not form spores and are non motile. As a significant human pathogenic bacterium S. pneumoniae was recognized as a major cause of pneumonia in the late 19th century, and is the subject of many humoral immunity studies.
Streptococcus pneumoniae resides asymptomatically in healthy carriers typically colonizing the respiratory tract, sinuses, and nasal cavity. However, in susceptible individuals with weaker immune systems, such as the elderly and young children, the bacterium may become pathogenic and spread to other locations to cause disease. It spreads by  direct person-to-person contact via respiratory droplets and by auto inoculation in persons carrying the bacteria in their upper respiratory tracts. It can be a cause of neonatal infections.Streptococcus pneumoniae is the main cause of community acquired pneumonia and meningitis in children and the elderly, and of sepsis in those infected with HIV. The organism also causes many types of pneumococcal infections other than pneumonia.  These invasive pneumococcal diseases include bronchitis, rhinitis, acute sinusitis, otitis media, conjunctivitis, meningitis, sepsis, osteomyelitis, septic arthritis, endocarditis, peritonitis, pericarditis, cellulitis, and brain abscess.Streptococcus pneumoniae can be differentiated from the viridans streptococci, some of which are also alpha-hemolytic, using an optochin test, as S. pneumoniae is optochin-sensitive. S. pneumoniae can also be distinguished based on its sensitivity to lysis by bile, the so-called ""bile solubility test"". The encapsulated, Gram-positive, coccoid bacteria have a distinctive morphology on Gram stain, lancet-shaped diplococci. They have a polysaccharide capsule that acts as a virulence factor for the organism; more than 100 different serotypes are known, and these types differ in virulence, prevalence, and extent of drug resistance."
112,Streptococcus pyogenes,"Streptococcus pyogenes is a species of Gram-positive, aerotolerant bacteria in the genus Streptococcus.  These bacteria are extracellular, and made up of non-motile and non-sporing cocci (round cells) that tend to link in chains. They are clinically important for humans, as they are an infrequent, but usually pathogenic, part of the skin microbiota that can cause Group A streptococcal infection.  S. pyogenes  is the predominant species harboring the Lancefield group A antigen, and is often called group A Streptococcus (GAS).  However, both Streptococcus dysgalactiae and the Streptococcus anginosus group can possess group A antigen as well.  Group A streptococci, when grown on blood agar, typically produce small (2–3 mm) zones of beta-hemolysis, a complete destruction of red blood cells. The name group A (beta-hemolytic) Streptococcus (GABHS) is thus also used.The species name is derived from Greek words meaning 'a chain' (streptos) of berries (coccus [Latinized from kokkos]) and pus (pyo)-forming (genes), since a number of infections caused by the bacterium produce pus.  The main criterion for differentiation between Staphylococcus spp. and Streptococcus spp. is the catalase test.  Staphylococci are catalase positive whereas streptococci are catalase-negative.  S. pyogenes can be cultured on fresh blood agar plates.  Under ideal conditions, it has an incubation period of 1 to 3 days.An estimated 700 million GAS infections occur worldwide each year. While the overall mortality rate for these infections is 0.1%, over 650,000 of the cases are severe and invasive, with these cases having a mortality rate of 25%. Early recognition and treatment are critical; diagnostic failure can result in sepsis and death."
113,Streptococcus salivarius,"Streptococcus salivarius is a species of spherical, gram-positive, facultative anaerobic bacteria that is both catalase and oxidase negative. S. salivarius colonizes (usually in chains) the oral cavity and upper respiratory tract of humans just a few hours after birth, making further exposure to the bacteria harmless in most circumstances. The bacteria is considered an opportunistic pathogen, rarely finding its way into the bloodstream, where it has been implicated in cases of sepsis in people with neutropenia, (a deficiency in white blood cells).
S. salivarius has distinct characteristics when exposed to different environmental nutrients. For example, in the laboratory, if a growth medium is used that includes sucrose  then S. salivarius is able to use the sucrose to produce a capsule around itself. However, if sucrose is replaced by glucose as on a GYC (glucose, yeast extract, calcium carbonate) plate, S. salivarius is unable to make a capsule from the glucose.
More importantly, in the laboratory, S. salivarius can show a distinct clearing on GYC plates. This is because S. salivarius can ferment the glucose yielding lactic acid. Next, the lactic acid actually reacts with the calcium carbonate in the GYC plate, resulting in zones of clearings on the plate.[1]"
114,Streptococcus sobrinus,"Streptococcus sobrinus is a Gram-positive, catalase-negative, non-motile, and anaerobic  member of the genus Streptococcus."
115,Treponema,"Treponema is a genus of spiral-shaped bacteria. The major treponeme species of human pathogens is Treponema pallidum, whose subspecies are responsible for diseases such as syphilis, bejel, and yaws.  Treponema carateum is the cause of pinta. Treponema paraluiscuniculi is associated with syphilis in rabbits. Treponema succinifaciens has been found in the gut microbiome of traditional rural human populations."
116,Ureaplasma urealyticum,"Ureaplasma urealyticum is a bacterium belonging to the genus Ureaplasma and the family Mycoplasmataceae in the order Mycoplasmatales. This family consists of the genera Mycoplasma and Ureaplasma. Its type strain is T960. There are two known biovars of this species; T960 and 27.  These strains of bacterium are commonly found in the urogenital tracts of human beings, but overgrowth can lead to infections that cause the patient discomfort. Unlike most bacteria, Ureaplasma urealyticum lacks a cell wall making it unique in physiology and medical treatment."
